Afghanistan;29519
Angola;6361
Argentina;2000
Australia;16000
Azerbaijan;36000
Bangladesh;650788
Benin;10292
Bolivia, Plurinational State of;9000
Brazil;35000
Bulgaria;2100
Cameroon;30000
Central African Republic;17570
Chad;500000
Chile;7300
China;5730800
Colombia;71200
Comoros;11000
Congo, the Democratic Republic of the;23000
Costa Rica;2000
Cuba;351730
Dominican Republic;43383
Ecuador;4796
Ethiopia;20118
Fiji;27062
Gabon;1606
Gambia;7745
Guatemala;63679
Haiti;85900
India;9110000
Indonesia;103831
Iran, Islamic Republic of;50000
Italy;16850
Jamaica;2000
Japan;308000
Kazakhstan;5113
Kenya;97626
Korea, Democratic People Republic of;232000
Madagascar;267911
Malawi;6182
Malaysia;22000
Mali;9000
Mexico;6500
Montenegro;800
Morocco;581
Mozambique;10000
Myanmar;73840
Namibia;400
Nepal;600
New Zealand;450
Nicaragua;3000
Niger;540000
Nigeria;6111580
Pakistan;1856570
Palau;151
PALESTINE, STATE OF;1200
Panama;3400
Papua New Guinea;75000
Peru;183951
Philippines;3858596
Russian Federation;31875
Rwanda;3225
Samoa;7739
Senegal;20000
Solomon Islands;1047
Somalia;28000
South Africa;2000
SUDAN;340000
Spain;22000
Sri Lanka;129092
Sudan;84000
Taiwan, Province of China;6000
Tajikistan;6390
Tanzania, United Republic of;10000
Thailand;3400
Tonga;400
Uganda;216
United Kingdom;300
United States;900932
Uzbekistan;224
Vanuatu;700
Venezuela, Bolivarian Republic of;1000
Viet Nam;15000