Area,Popolazione >30,Numero decessi osservati,Decessi attribuilbili all'inquinante,Tasso di mortalità attribuibile all'inquinante (per 100.000),Mesi di vita persi,Inquinante,Anno,Scenario
Italia,40.077.488,527.193,34.552,86,"9,7","Pm2,5",2005,baseline
Nord,18.847.023,249.518,22.485,119,14,"Pm2,5",2005,baseline
Centro,8.858.531,119.756,5.513,62,"6,6","Pm2,5",2005,baseline
Sud e Isole,12.371.934,157.918,6.554,53,"5,7","Pm2,5",2005,baseline
Urbano,14.251.369,182.325,19.358,136,"17,2","Pm2,5",2005,baseline
Non Urbano,25.826.119,344.867,15.194,59,"5,8","Pm2,5",2005,baseline
Italia,40.077.488,527.193,21.524,54,"5,5","Pm2,5",2010,baseline
Nord,18.847.023,249.518,16.135,86,"9,8","Pm2,5",2010,baseline
Centro,8.858.531,119.756,3.174,36,"3,5","Pm2,5",2010,baseline
Sud e Isole,12.371.934,157.918,2.214,18,"0,8","Pm2,5",2010,baseline
Urbano,14.251.369,182.325,13.935,98,"11,7","Pm2,5",2010,baseline
Non Urbano,25.826.119,344.867,7.589,29,"2,2","Pm2,5",2010,baseline
Italia,40.077.488,527.193,28.595,71,"7,7","Pm2,5",2020,cle
Nord,18.847.023,249.518,19.536,104,"11,9","Pm2,5",2020,cle
Centro,8.858.531,119.756,4.056,46,"4,4","Pm2,5",2020,cle
Sud e Isole,12.371.934,157.918,5.004,40,"3,9","Pm2,5",2020,cle
Urbano,14.251.369,182.325,16.940,119,"14,7","Pm2,5",2020,cle
Non Urbano,25.826.119,344.867,11.655,45,4,"Pm2,5",2020,cle
Italia,40.077.488,527.193,23.170,58,"5,9","Pm2,5",2020,target 1
Nord,18.847.023,249.518,15.301,81,"8,8","Pm2,5",2020,target 1
Centro,8.858.531,119.756,4.004,45,"4,4","Pm2,5",2020,target 1
Sud e Isole,12.371.934,157.918,3.865,31,"2,7","Pm2,5",2020,target 1
Urbano,14.251.369,182.325,182.325,1279,"10,3","Pm2,5",2020,target 1
Non Urbano,25.826.119,344.867,344.867,1335,"3,5","Pm2,5",2020,target 1
Italia,40.077.488,527.193,18.511,46,"4,2","Pm2,5",2020,target 2
Nord,18.847.023,249.518,13.172,70,"7,5","Pm2,5",2020,target 2
Centro,8.858.531,119.756,2.247,25,"1,7","Pm2,5",2020,target 2
Sud e Isole,12.371.934,157.918,3.093,25,"1,3","Pm2,5",2020,target 2
Urbano,14.251.369,182.325,11.652,82,"9,7","Pm2,5",2020,target 2
Non Urbano,25.826.119,344.867,6.860,27,"1,4","Pm2,5",2020,target 2